Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-07-22	Sebze	6663.57	2,1304	27,22
2014-07-23	Meyve	8126.2	2,1217	27,06
2014-07-23	Sebze	5954.8	2,1217	27,06
2014-07-24	Meyve	7080.1	2,0958	25,72
2014-07-24	Sebze	5787.58	2,0958	25,72
2014-07-25	Meyve	6793.71	2,0940	26,00
2014-07-25	Sebze	6180.75	2,0940	26,00
2014-07-26	Meyve	9141.86	2,0956	27,17
2014-07-26	Sebze	7893.14	2,0956	27,17
2014-07-27	Meyve	9283.53	2,0956	27,33
2014-07-27	Sebze	8256.64	2,0956	27,33
2014-07-28	Meyve	3032.21	2,0956	28,06
2014-07-28	Sebze	2448.9	2,0956	28,06
2014-07-29	Meyve	5633.76	2,0956	27,33
2014-07-29	Sebze	4856.5	2,0956	27,33
2014-07-30	Meyve	8272.34	2,0956	27,50
2014-07-30	Sebze	7661.39	2,0956	27,50
2014-07-31	Meyve	8947.45	2,0956	27,56
2014-07-31	Sebze	7912.62	2,0956	27,56
2014-08-01	Meyve	7037.67	2,1762	8,94
2014-08-01	Sebze	8847.46	2,1762	8,94
2014-08-02	Meyve	12126.35	2,2209	10,67
2014-08-02	Sebze	15356.01	2,2209	10,67
2014-08-03	Meyve	14018.63	2,1912	8,56
2014-08-03	Sebze	19840.76	2,1912	8,56
2014-08-04	Meyve	8190.56	2,1221	11,89
2014-08-04	Sebze	11208.14	2,1221	11,89
2014-08-05	Meyve	9294.41	2,0960	14,89
2014-08-05	Sebze	9166.67	2,0960	14,89
2014-08-06	Meyve	15016.12	2,0934	21,39
2014-08-06	Sebze	10475.13	2,0934	21,39
2014-08-07	Meyve	8553.01	2,1354	25,83
2014-08-07	Sebze	7507.51	2,1354	25,83
2014-08-08	Meyve	8291.3	2,1625	23,89
2014-08-08	Sebze	7750.59	2,1625	23,89
2014-08-09	Meyve	8296.76	2,1674	22,28
2014-08-09	Sebze	10716.51	2,1674	22,28
2014-08-10	Meyve	9075.3	2,2714	19,72
2014-08-10	Sebze	12836.81	2,2714	19,72
2014-08-11	Meyve	11166.72	2,2371	16,72
2014-08-11	Sebze	12485.41	2,2371	16,72
2014-08-12	Meyve	12496.27	2,2342	12,00
2014-08-12	Sebze	11614.23	2,2342	12,00
2014-08-13	Meyve	8436.37	2,1651	28,00
2014-08-13	Sebze	6748.17	2,1651	28,00
2014-08-14	Meyve	8557.05	2,1627	27,67
2014-08-14	Sebze	6974.96	2,1627	27,67
2014-08-15	Meyve	9259.41	2,1596	27,22
2014-08-15	Sebze	8137.68	2,1596	27,22
2014-08-16	Meyve	10942.07	2,1600	28,72
2014-08-16	Sebze	10369.93	2,1600	28,72
2014-08-17	Meyve	11849.59	2,1600	26,00
2014-08-17	Sebze	10803.55	2,1600	26,00
2014-08-18	Meyve	9288.2	2,1600	23,83
2014-08-18	Sebze	9427.21	2,1600	23,83
