ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
Kanserle Savaş Haftası	01.04.2014	07.04.2014	01.04.2015	07.04.2015	01.04.2016	07.04.2016	01.04.2017	07.04.2017	Sabit	3	Sosyal-Özel Gün	0
Yaz Tatili (Okul)	13.06.2014	15.09.2014	13.06.2015	15.09.2015	13.06.2016	15.09.2016	13.06.2017	15.09.2017	Değişken	4	Sınav-Okul Tatilleri	1
Kadir Gecesi	23.07.2014	24.07.2014	13.07.2015	14.07.2015	01.07.2016	02.07.2016	21.06.2017	22.06.2017	Değişken	2	Dini Gün	0
Yeşilay Haftası	01.03.2014	07.03.2014	01.03.2015	07.03.2015	01.03.2016	07.03.2016	01.03.2017	07.03.2017	Sabit	3	Sosyal-Özel Gün	0
Çanakkale Zaferi(Kahramanlık Günü)	18.03.2014	18.03.2014	18.03.2015	18.03.2015	18.03.2016	18.03.2016	18.03.2017	18.03.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Sağlık Günü	07.04.2014	07.04.2014	07.04.2015	07.04.2015	07.04.2016	07.04.2016	07.04.2017	07.04.2017	Sabit	3	Sosyal-Özel Gün	0
Öğretmen Okullarının Kuruluş Yıl Dönümü	16.03.2014	16.03.2014	16.03.2015	16.03.2015	16.03.2016	16.03.2016	16.03.2017	16.03.2017	Sabit	3	Sosyal-Özel Gün	0
23 Nisan Ulusal Egemenlik ve Çocuk Bayram	23.04.2014	23.04.2014	23.04.2015	23.04.2015	23.04.2016	23.04.2016	23.04.2017	23.04.2017	Sabit	1	Milli Gün	1
İstiklâl Marşı'nın Kabulü ve Mehmet Akif ERSOY'u Anma Günü	12.03.2014	12.03.2014	12.03.2015	12.03.2015	12.03.2016	12.03.2016	12.03.2017	12.03.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Barış Günü	01.09.2014	01.09.2014	01.09.2015	01.09.2015	01.09.2016	01.09.2016	01.09.2017	01.09.2017	Sabit	3	Sosyal-Özel Gün	0
Gaziler Günü	19.09.2014	19.09.2014	19.09.2015	19.09.2015	19.09.2016	19.09.2016	19.09.2017	19.09.2017	Sabit	3	Sosyal-Özel Gün	0
TBMM Tatili	18.03.2014	24.03.2014	18.03.2015	24.03.2015	18.03.2016	24.03.2016	18.03.2017	24.03.2017	Sabit	3	Sosyal-Özel Gün	1
Engelliler Haftası	10.05.2014	16.05.2014	10.05.2015	16.05.2015	10.05.2016	16.05.2016	10.05.2017	16.05.2017	Sabit	3	Sosyal-Özel Gün	0
Yangından Korunma Haftası (İtfaiyecilik Haftası)	25.09.2014	01.10.2014	25.09.2015	01.10.2015	25.09.2016	01.10.2016	25.09.2017	01.10.2017	Sabit	3	Sosyal-Özel Gün	0
